LEVEL:		TIMS:

1_10		254
1_11		254
1_20		256
1_21		256
1_30		211
1_31		211

2_10		226
2_11		226
2_20		265
2_21		265
2_30		233
2_31		233
2_40		209
2_41		209

3_10		204
3_11		-
3_20		250
3_21		-
3_30		265
3_31		-
3_40		190
3_41		-

4_10		303
4_11		-
4_20		287
4_21		-
4_30		208
4_31		-

5_10		247
5_11		-
5_20		261
5_21		-
5_30		272
5_31		-
5_40		267
5_41		-

7_10		253
7_11		-
7_20		86
7_21		-
7_30		235
7_31		-

9_10		268
9_11		-
9_20		290
9_21		-
9_40		232
9_41		-

12_10		124
12_11		124

12_20		149
12_21		149

12_30		129
12_31		129

12_40		130
12_41		130

12_50		131
12_51		131

12_60		124
12_61		124

12_70		135
12_71		135
